,Time,error_pat,des_pat,Acc.
0,0,00,01,90.68000000000012
1,1,00,01,90.62200000000003
2,2,00,01,90.4824
3,3,00,01,90.2127
4,4,00,01,89.78889999999997
5,5,00,01,89.11439999999999
6,6,00,01,88.01219999999998
7,7,00,01,85.93510000000002
8,8,00,01,81.65269999999997
9,9,00,01,72.1972
10,10,00,01,53.4745
11,11,00,01,27.040499999999994
12,12,00,01,16.637700000000002
13,13,00,01,15.510299999999997
14,14,00,01,10.000599999999999
15,15,00,01,10.0
16,16,00,01,10.0
17,17,00,01,10.0
18,18,00,01,10.0
19,19,00,01,10.0
20,20,00,01,10.0
21,21,00,01,10.0
22,22,00,01,10.0
23,23,00,01,10.0
24,24,00,01,10.0
