,Time,error_rate
0,0.0,4.323695207359341e-06
1,1.0,0.007876433732267499
2,2.0,0.03450315682061271
3,3.0,0.07831286622301274
4,4.0,0.1399133370231289
5,5.0,0.22184524137632283
6,6.0,0.32779869070006257
7,7.0,0.46219004668303315
8,8.0,0.6298608819594326
9,9.0,0.8357943357674794
10,10.0,1.0848225580270925
11,11.0,1.3813329985008713
12,12.0,1.7289953797899609
13,13.0,2.130534182500254
14,14.0,2.587567251992402
15,15.0,3.100522605562511
16,16.0,3.668635413409433
17,17.0,4.290017807693555
18,18.0,4.961787265250783
19,19.0,5.680235534116023
20,20.0,6.441019349145383
21,21.0,7.2393558816556265
22,22.0,8.070209121255115
23,23.0,8.92845732309576
24,24.0,9.809035556817431
